form	lemma	POS	morph
༄༅།		PUNCT
		
།		PUNCT
གྲོ་	གྲོ་	NOUN
ལོད་	ལོད་	NO_POS
གསང་	གསང་	VERB
སྒྲུབ་	སྒྲུབ་	VERB
རྒྱུན་	རྒྱུན་	NOUN
ཁྱེ་	ཁྱེ་	VERB
བཞུགས་	བཞུགས་	VERB
།		PUNCT
ན་མོ་	ན་མོ་	X
།		PUNCT
		
བླ་མ་	བླ་མ་	NOUN
དབང་	དབང་	NOUN
དྲག་	དྲག་	VERB
ཧེ་རུ་ཀ་	ཧེ་རུ་ཀ་	NOUN
ར་	ལ་	PART
།		PUNCT
		
།		PUNCT
སྐྱབས་	སྐྱབས་	NOUN
མཆི་	མཆི་	NO_POS
འགྲོ་དོན་	འགྲོ་དོན་	NOUN
བྱང་སེམས་	བྱང་སེམས་	NOUN
བསྐྱེད་	བསྐྱེད་	VERB
།		PUNCT
		
།		PUNCT
ལན་	ལན་	NOUN
གསུམ་	གསུམ་	NUM
།		PUNCT
ཧཱུྃ་		NON_WORD
།		PUNCT
		
སྐད་ཅིག་	སྐད་ཅིག་	OTHER
རང་ཉིད་	རང་ཉིད་	OTHER
གྲོ་བོ་	གྲོ་བོ་	NO_POS
ལོད་	ལོད་	NO_POS
།		PUNCT
		
།		PUNCT
སྨུག་ནག་	སྨུག་ནག་	NO_POS
ཁྲོ་གཏུམ་	ཁྲོ་གཏུམ་	NO_POS
ཨམ་གཙིགས་	ཨམ་གཙིགས་	NO_POS
བསྡམས་	བསྡམས་	NO_POS
།		PUNCT
		
།		PUNCT
གཡས་གཡོན་	གཡས་གཡོན་	NOUN
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
ལྕགས་	ལྕགས་	NOUN
ཕུ་	ཕུ་	VERB
གདེངས་	གདེངས་	NOUN
།		PUNCT
		
།		PUNCT
ཟབ་	ཟབ་	VERB
བེར་	བེར་	NOUN
ཆོས་གོས་	ཆོས་གོས་	NOUN
སག་ལྷམ་	སག་ལྷམ་	NOUN
གསོལ་	གསོལ་	VERB
།		PUNCT
		
།		PUNCT
དབུ་སྐྲ་	དབུ་སྐྲ་	OTHER
གཡས་འཁྱིལ་	གཡས་འཁྱིལ་	OTHER
དུང་ལོང་	དུང་ལོང་	NO_POS
འཁྲོལ་	འཁྲོལ་	NO_POS
།		PUNCT
		
།		PUNCT
ཐོད་	ཐོད་	NOUN
རློན་	རློན་	NO_POS
ཕྲེང་བ་	ཕྲེང་བ་	NOUN
དོ་ཤལ་	དོ་ཤལ་	OTHER
འཕྱང་	འཕྱང་	NO_POS
།		PUNCT
		
།		PUNCT
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
མེ་དཔུང་	མེ་དཔུང་	OTHER
འབར་བ་	འབར་བ་	VERB
འི་	གི་	PART
ཀློང་	ཀློང་	NOUN
།		PUNCT
		
།		PUNCT
སྟག་མོ་	སྟག་མོ་	NOUN
གྲུས་མ་	གྲུས་མ་	NO_POS
འི་	གི་	PART
སྟེང་	སྟེང་	NOUN
ན་	ལ་	PART
འགྱིང་	འགྱིང་	NO_POS
།		PUNCT
		
།		PUNCT
ཐུགས་ཀ་	ཐུགས་ཀ་	NOUN
ར་	ལ་	PART
ཉི་	ཉི་	NUM
སྟེང་	སྟེང་	NOUN
ཧཱུྃ་		NON_WORD
དམར་	དམར་	VERB
མཐ་	མཐའ་	NOUN
ར་	ལ་	PART
།		PUNCT
		
།		PUNCT
རྩ་བ་	རྩ་བ་	NOUN
འི་	གི་	PART
སྔགས་	སྔགས་	NOUN
ཀྱིས་	གིས་	PART
བསྐོར་བ་	བསྐོར་བ་	VERB
ར་	ལ་	PART
བསྒོམ་	བསྒོམ་	VERB
།		PUNCT
		
།		PUNCT
ཧཱུྃ་		NON_WORD
ཧཱུྃ་		NON_WORD
ཧཱུྃ་		NON_WORD
།		PUNCT
ཞེ་	ཅེས་	PART
དང་	དང་	NO_POS
།		PUNCT
		
།		PUNCT
ཨོཾ་	ཨོཾ་	X
ཨཱཿ་		NON_WORD
ཧཱུྃ་		NON_WORD
བཛྲ་	བཛྲ་	NO_POS
གུ་རུ་	གུ་རུ་	PROPN
གྲོ་བོ་	གྲོ་བོ་	NO_POS
ལོད་	ལོད་	NO_POS
ལོ་ཀ་	ལོ་ཀ་	NO_POS
སརྦ་	སརྦ་	NO_POS
སིདྡྷི་		NON_WORD
ཧཱུྃ་		NON_WORD
ཧཱུྃ་		NON_WORD
།		PUNCT
ཞེ་	ཅེས་	PART
ཅི་	ཅི་	NO_POS
འགྲུབ་	འགྲུབ་	VERB
བཟླས་	བཟླས་	NO_POS
མཐ་	མཐའ་	NOUN
ར་	ལ་	PART
།		PUNCT
ཧཱུྃ་		NON_WORD
ཧཱུྃ་		NON_WORD
ཧཱུྃ་		NON_WORD
གིས་	གིས་	PART
འོད་གསལ་	འོད་གསལ་	NOUN
དུ་	ལ་	PART
བསྡུ་	བསྡུ་	VERB
།		PUNCT
		
ཕཊ་		NON_WORD
ཕཊ་		NON_WORD
ཕཊ་		NON_WORD
ཀྱིས་	གིས་	PART
སླར་ཡང་	སླར་ཡང་	OTHER
སྐུ་	སྐུ་	NOUN
ལྡང་	ལྡང་	NO_POS
།		PUNCT
		
དགེ་	དགེ་	NOUN
འདི་	འདི་	DET
ས་	གིས་	PART
བདག་	བདག་	PRON
དང་	དང་	NO_POS
འགྲོ་བ་	འགྲོ་བ་	VERB
ཀུན་	ཀུན་	DET
།		PUNCT
		
།		PUNCT
བདུད་འདུལ་	བདུད་འདུལ་	OTHER
གྲོ་	གྲོ་	NOUN
ལོད་	ལོད་	NO_POS
སྐུ་	སྐུ་	NOUN
སྨིན་	སྨིན་	VERB
ན་	ནས་	PART
།		PUNCT
		
།		PUNCT
བདུད་	བདུད་	NOUN
བཞི་	བཞི་	NUM
འི་	གི་	PART
གཡུལ་ལས་	གཡུལ་ལས་	OTHER
རྣམ་རྒྱལ་	རྣམ་རྒྱལ་	NOUN
ཏེ་	སྟེ་	PART
།		PUNCT
		
།		PUNCT
འཁོར་བ་	འཁོར་བ་	NOUN
དོང་	དོང་	VERB
སྤྲུགས་	སྤྲུགས་	VERB
བཀྲ་ཤིས་ཤོག་	བཀྲ་ཤིས་ཤོག་	NO_POS
		
།		PUNCT
ཅེས་	ཅེས་	PART
སོགས་	སོགས་	DET
བསྔོ་སྨོན་	བསྔོ་སྨོན་	NO_POS
ཤིས་བརྗོད་	ཤིས་བརྗོད་	OTHER
བྱ་	བྱ་	VERB
འོ་	གོ་	PART
།		PUNCT
		
།		PUNCT
ཞེས་་	ཞེས་པ་	PART
འང་	ཀྱང་	PART
ཨ་	ཨ་	X
རི་	རི་	NOUN
འི་	གི་	PART
མོ་	མོ་	VERB
ལྡན་	ལྡན་	VERB
འག་	འགའ་	DET
འི་	གི་	PART
ཉམས་ལེན་	ཉམས་ལེན་	NOUN
དུ་	ལ་	PART
འཇིགས་	འཇིགས་	VERB
བྲལ་	བྲལ་	VERB
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
ས་	གིས་	PART
སོ་	གོ་	PART
།།		PUNCT
