form	lemma	POS	morph
༄༅།		PUNCT
		
།		PUNCT
འཕགས་པ་	འཕགས་པ་	VERB
རང་བྱོན་	རང་བྱོན་	ADJ
མཆེད་	མཆེད་	NOUN
ལྔ་	ལྔ་	NUM
འི་	གི་	PART
བསྒྲུབ་	བསྒྲུབ་	VERB
ཐབས་	ཐབས་	NOUN
བསྐྱེད་རྫོགས་	བསྐྱེད་རྫོགས་	NOUN
ཟུང་	ཟུང་	VERB
འབྲེལ་	འབྲེལ་	VERB
དུ་	ལ་	PART
གདམས་པ་	གདམས་པ་	VERB
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
		
།		PUNCT
ཨོཾ་	ཨོཾ་	X
མ་ཎི་	མ་ཎི་	OTHER
པདྨེ་		NON_WORD
ཧཱུྂ་		NON_WORD
།		PUNCT
སྦྲུལ་	སྦྲུལ་	NOUN
ལོ་	གོ་	PART
ཆོ་འཕྲུལ་	ཆོ་འཕྲུལ་	NOUN
ཟླ་བ་	ཟླ་བ་	NOUN
ལ་	ལ་	PART
།		PUNCT
		
།		PUNCT
སྐྱེ་	སྐྱེ་	NOUN
བདུན་	བདུན་	NUM
བསྒྲུབ་	བསྒྲུབ་	VERB
ཆེན་	ཆེན་	NO_POS
བྱས་པ་	བྱས་པ་	VERB
འི་	གི་	PART
ཚེ་	ཚེ་	NOUN
།		PUNCT
		
།		PUNCT
ཚེས་པ་	ཚེས་པ་	NO_POS
བཅོ་བརྒྱད་	བཅོ་བརྒྱད་	NO_POS
སྲོད་	སྲོད་	ADV
ཀྱིས་	གིས་	PART
དུས་	དུས་	NOUN
"།
།"		PUNCT
རྨི་ལམ་	རྨི་ལམ་	NOUN
འཁྲུལ་སྣང་	འཁྲུལ་སྣང་	OTHER
འདི་ལྟར་	འདི་ལྟར་	NO_POS
བྱུང་	བྱུང་	VERB
།		PUNCT
		
།		PUNCT
དཀྱིལ་	དཀྱིལ་	NOUN
མཁའ་	མཁའ་	NOUN
མདོ་	མདོ་	NOUN
ནག་	ནག་	VERB
གསུམ་	གསུམ་	NUM
མདོ་	མདོ་	NOUN
རུ་	ལ་	PART
།		PUNCT
		
།		PUNCT
འཁྲུངས་པ་	འཁྲུངས་པ་	VERB
འི་	གི་	PART
གུ་རུ་	གུ་རུ་	PROPN
ཁྱུང་	ཁྱུང་	NOUN
གྲག་	གྲག་	VERB
དེ་	སྟེ་	PART
"།
།"		PUNCT
བདག་	བདག་	PRON
གི་	གི་	PART
མདུན་	མདུན་	NOUN
དུ་	ལ་	PART
བྱོན་	བྱོན་	VERB
ན་	ནས་	PART
སུ་	ལ་	PART
།		PUNCT
		
།		PUNCT
ཚེ་	ཚེ་	NOUN
གཅིག་	གཅིག་	NUM
ཐར་པ་	ཐར་པ་	VERB
བགྲོད་པ་	བགྲོད་པ་	VERB
འི་	གི་	PART
ཆོ་	ཆོ་	NOUN
།		PUNCT
		
།		PUNCT
འཕགས་པ་	འཕགས་པ་	VERB
རིགས་	རིགས་	NOUN
ལྔ་	ལྔ་	NUM
འི་	གི་	PART
བསྐྱེད་རྫོགས་	བསྐྱེད་རྫོགས་	NOUN
ཀྱིས་	གིས་	PART
"།
།"		PUNCT
ཉམས་ལེན་	ཉམས་ལེན་	NOUN
མཐིལ་ཕྱིན་	མཐིལ་ཕྱིན་	OTHER
འདི་ལྟར་	འདི་ལྟར་	NO_POS
བསྒོམ་	བསྒོམ་	VERB
།		PUNCT
		
།		PUNCT
འཁོར་བ་	འཁོར་བ་	NOUN
འི་	གི་	PART
ཆོ་	ཆོ་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
ཡིད་འབྱུང་	ཡིད་འབྱུང་	OTHER
ཏེ་	སྟེ་	PART
།		PUNCT
		
།		PUNCT
དང་པོ་	དང་པོ་	ADJ
མི་རྟག་	མི་རྟག་	OTHER
རྣལ་འབྱོར་	རྣལ་འབྱོར་	NOUN
སྒོམ་	སྒོམ་	VERB
།		PUNCT
		
།		PUNCT
དེ་ནས་	དེ་ནས་	NO_POS
སྐྱབས་འགྲོ་	སྐྱབས་འགྲོ་	OTHER
སེམས་བསྐྱེད་	སེམས་བསྐྱེད་	NOUN
བྱ་	བྱ་	VERB
"།
།"		PUNCT
ཆོ་	ཆོ་	NOUN
ཀུན་	ཀུན་	DET
སྟོང་པ་	སྟོང་པ་	VERB
འི་	གི་	PART
ངང་	ངང་	NOUN
བསམས་	བསམས་	VERB
ལ་	ལ་	PART
།		PUNCT
		
།		PUNCT
འགྲོ་བ་	འགྲོ་བ་	VERB
སེམས་ཅན་	སེམས་ཅན་	NOUN
ཐམས་ཅད་	ཐམས་ཅད་	DET
ལ་	ལ་	PART
།		PUNCT
		
།		PUNCT
མ་	མ་	PART
ལྟ་	ལྟ་	OTHER
བརྩེ་བ་	བརྩེ་བ་	VERB
འི་	གི་	PART
སྙིང་རྗེ་	སྙིང་རྗེ་	NOUN
བསྒོམ་	བསྒོམ་	VERB
།		PUNCT
		
།		PUNCT
སྟོང་ཉིད་	སྟོང་ཉིད་	NOUN
སྙིང་རྗེ་	སྙིང་རྗེ་	NOUN
འི་	གི་	PART
ངང་	ངང་	NOUN
ཅན་	ཅན་	PART
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
		
།		PUNCT
པད་	པད་	NO_POS
ཟླ་	ཟླ་	NOUN
འི་	གི་	PART
གདན་	གདན་	NOUN
ལ་	ལ་	PART
ཧྲཱིཿ་		NON_WORD
ཡིག་དཀར་	ཡིག་དཀར་	NO_POS
།		PUNCT
		
།		PUNCT
དེ་ལས་	དེ་ལས་	NO_POS
རང་ཉིད་	རང་ཉིད་	OTHER
སྤྱན་རས་	སྤྱན་རས་	NO_POS
གཟིགས་	གཟིགས་	VERB
།		PUNCT
		
།		PUNCT
ཞལ་	ཞལ་	NOUN
གཅིག་	གཅིག་	NUM
ཕྱག་	ཕྱག་	NOUN
བཞི་	བཞི་	NUM
འི་	གི་	PART
སྐུ་	སྐུ་	NOUN
རུ་	ལ་	PART
སྒོམ་	སྒོམ་	VERB
།		PUNCT
		
།		PUNCT
སྤྱི་བོ་	སྤྱི་བོ་	NOUN
ར་	ལ་	PART
འཕགས་པ་	འཕགས་པ་	VERB
འཇའ་མ་	འཇའ་མ་	NO_POS
ལི་	ལི་	OTHER
།		PUNCT
		
།		PUNCT
མདོག་	མདོག་	NOUN
མཐིང་	མཐིང་	NO_POS
པདྨ་	པདྨ་	NOUN
གཡའ་	གཡའ་	NOUN
ན་	ལ་	PART
སྣམས་		NON_WORD
།		PUNCT
		
།		PUNCT
གཡོན་པ་	གཡོན་པ་	ADJ
སྐྱབས་	སྐྱབས་	NOUN
སྦྱིན་	སྦྱིན་	VERB
ཕྱག་རྒྱ་	ཕྱག་རྒྱ་	NOUN
ཅན་	ཅན་	PART
།		PUNCT
		
།		PUNCT
མགྲིན་པ་	མགྲིན་པ་	NOUN
ར་	ལ་	PART
འཕགས་པ་བ་	འཕགས་པ་བ་	VERB
ཏིའི་		NON_WORD
སྐུ་	སྐུ་	NOUN
།		PUNCT
		
།		PUNCT
མདོག་དམར་	མདོག་དམར་	NO_POS
པདྨ་	པདྨ་	NOUN
སྐྱབས་	སྐྱབས་	NOUN
